algoritmo,iteracion,mejor_distancia_global,mejor_distancia_iteracion,media_distancias_validas,peor_distancia_valida,rutas_validas,n_hormigas,tiempo_iteracion,tiempo_total,tau_media,tau_min,tau_max,escenario,seed
AS,1,14.612578373402357,14.612578373402357,14.740303741768003,14.868029110133648,2,94,0.7081395999994129,0.7081408998928964,1.782126255760012,1.7701647277619703,1.905857330320401,1,1
AS,2,14.612578373402357,14.674022562801838,14.948405385017395,15.1222586594522,4,94,0.6639018000569195,1.3721132997889072,0.9146548873158803,0.8850823638809852,1.2205556135994198,1,1
AS,3,13.609082218259573,13.609082218259573,14.389703195542097,14.687010630965233,5,94,0.651710000121966,2.023894199868664,0.48798165379543673,0.4425411819404926,0.9580218035207744,1,1
AS,4,13.609082218259573,13.87794441729784,14.035873717317978,14.152653984725475,3,94,0.6147492998279631,2.6387051998171955,0.26283347797210066,0.2212705909702463,0.6927635564213894,1,1
AS,5,12.817584838718176,12.817584838718176,13.879331255952517,15.251111052930355,6,94,0.5739637999795377,3.212731499923393,0.16968586991212756,0.11063529548512314,0.7805100914043668,1,1
AS,6,12.817584838718176,13.02137741819024,13.413707250108322,13.61877303943038,3,94,0.6240469999611378,3.836836699862033,0.10456678094790674,0.05531764774256157,0.6055485679634428,1,1
AS,7,12.804579358547926,12.804579358547926,13.185322768054903,13.660216197371483,4,94,0.6772239001002163,4.514136599842459,0.07904261566547968,0.027658823871280786,0.6063332364232296,1,1
AS,8,12.469303384423256,12.469303384423256,12.84395170584321,13.237813200801611,4,94,0.5886500999331474,5.10285189980641,0.06698672937451343,0.013829411935640393,0.6147367227984013,1,1
AS,9,11.999084711074829,11.999084711074829,12.371615691731373,12.7680793851614,3,94,0.6113088000565767,5.714220699854195,0.05488308781593392,0.0069147059678201965,0.5500152205470981,1,1
AS,10,11.987117908895016,11.987117908895016,12.003275968134403,12.01943402737379,2,94,0.6337881998624653,6.348090399987996,0.042129503884971706,0.0034573529839100983,0.4416290917331189,1,1
AS,11,11.987117908895016,12.305983260273933,12.55387894436717,12.708013966679573,4,94,0.5966568000148982,6.944814799819142,0.049156385070213485,0.0017286764919550491,0.5394884485520718,1,1
AS,12,11.987117908895016,12.07229957729578,12.431575123220682,12.706293925642967,6,94,0.565924399998039,7.510797299910337,0.06713626200173237,0.0008643382459775246,0.7525266252146384,1,1
AS,13,11.663460463285446,11.663460463285446,11.901395946741104,12.138689875602722,3,94,0.5659765999298543,8.076840299880132,0.05579453942168289,0.0004321691229887623,0.6284016016821755,1,1
AS,14,11.663460463285446,11.928232319653034,12.199353941405812,12.47059589996934,6,94,0.5951254998799413,8.672024099854752,0.07126540915268413,0.00021608456149438114,0.8061727052619913,1,1
AS,15,11.663460463285446,12.145324662327766,12.294969243307909,12.39760623127222,3,94,0.6460977999959141,9.31818119995296,0.05714358162310837,0.00010804228074719057,0.6471075922475381,1,1
AS,16,11.419696636497974,11.419696636497974,11.914850962907076,12.674120724201202,5,94,0.5791901000775397,9.897438699845225,0.06561432297582037,5.4021140373595285e-05,0.7437674674495843,1,1
AS,17,11.16678423434496,11.16678423434496,11.822672638628218,12.620625667273998,9,94,0.6013678999152035,10.49887379980646,0.09998039616497802,2.7010570186797643e-05,1.1339026862442176,1,1
AS,18,11.16678423434496,11.315253175795078,12.038416935130954,12.521056659519672,6,94,0.664191200165078,11.163123999955133,0.09398403202336446,1.3505285093398821e-05,1.0660211797632229,1,1
AS,19,11.16678423434496,11.857293970882893,12.085726584174804,12.402515716850758,7,94,0.6911242001224309,11.854315199889243,0.09806011652801983,6.752642546699411e-06,1.1123315150938282,1,1
AS,20,11.16678423434496,11.385977558791637,11.6956941395998,12.16149615496397,5,94,0.6499366001226008,12.5043348998297,0.08673356631958906,3.3763212733497053e-06,0.9838775962419247,1,1
AS,21,11.16678423434496,11.431497156620026,11.817459052056074,12.358552653342485,10,94,0.6236620999407023,13.128055299865082,0.11800116018329233,1.6881606366748527e-06,1.338597591236986,1,1
AS,22,11.16678423434496,11.23781105875969,11.988374387224516,12.715663332492113,12,94,0.5623270000796765,13.690472699934617,0.14735044101408937,8.440803183374263e-07,1.6715472179107247,1,1
AS,23,11.16678423434496,11.20540465414524,11.964408899098634,12.982292495667934,5,94,0.6532582000363618,14.343787299934775,0.11062528227622621,4.2204015916871317e-07,1.2549382881648947,1,1
AS,24,11.16678423434496,11.36501432955265,11.993483771104366,12.466064747422934,8,94,0.6933323999401182,15.037186899920925,0.11416806205736901,2.1102007958435658e-07,1.2951301018223933,1,1
AS,25,11.16678423434496,11.495987482368946,11.914205596968532,12.366902217268944,10,94,0.6966697000898421,15.733975899871439,0.13110715920920818,1.0551003979217829e-07,1.4872897845719757,1,1
AS,26,11.16678423434496,11.572084818035364,11.91345532915809,12.491877228021622,11,94,0.5882975999265909,16.32234269985929,0.14701031526328123,5.2755019896089146e-08,1.667697108629046,1,1
AS,27,11.16678423434496,11.243278168141842,11.73969703540206,12.424343310296535,12,94,0.579228299902752,16.901628299849108,0.1636959446380852,2.6377509948044573e-08,1.8569806004629,1,1
AS,28,11.108727976679802,11.108727976679802,11.831640994442362,12.469238676130772,14,94,0.42631340003572404,17.32798259984702,0.1862566205253036,1.3188754974022286e-08,2.112910986872368,1,1
AS,29,11.108727976679802,11.206912241876125,11.714458574354648,12.184792943298817,10,94,0.4063116000033915,17.73433499992825,0.16844660943444198,6.594377487011143e-09,1.9108727582344491,1,1
AS,30,11.108727976679802,11.161414012312889,11.604288609432322,11.893920943140984,14,94,0.4142708999570459,18.14864719985053,0.19062497147667443,3.2971887435055716e-09,2.162466039668013,1,1
AS,31,11.108727976679802,11.311202943325043,11.766980512237007,12.23183148354292,11,94,0.4079831000417471,18.556672499980778,0.17778570930362542,1.6485943717527858e-09,2.01681636242948,1,1
AS,32,10.942241989076138,10.942241989076138,11.776070536114275,12.46111185848713,16,94,0.4018251998350024,18.958539199782535,0.2087941020213782,8.242971858763929e-10,2.368578245460886,1,1
AS,33,10.942241989076138,11.21475464105606,11.469254728779196,11.941037081182003,10,94,0.3909352000337094,19.349515799898654,0.18128887729928048,4.1214859293819645e-10,2.0565566144988723,1,1
AS,34,10.900835044682026,10.900835044682026,11.552295385071865,12.184155829250813,13,94,0.3929120998363942,19.742469299817458,0.1899365607718733,2.0607429646909823e-10,2.154656681861865,1,1
AS,35,10.890991896390915,10.890991896390915,11.599257449060678,12.195953004062176,15,94,0.4127539999317378,20.15526459994726,0.2090762739001979,1.0303714823454911e-10,2.3717792350980895,1,1
AS,36,10.890991896390915,10.996345661580563,11.513022123835981,12.086741089820862,16,94,0.4144822000525892,20.56978979986161,0.2271639102778605,5.1518574117274557e-11,2.576966938632791,1,1
AS,37,10.890991896390915,10.97636167705059,11.475304093744073,12.11168348789215,21,94,0.4118242000695318,20.981657499913126,0.2750234434818477,2.5759287058637278e-11,3.119889600518309,1,1
AS,38,10.890991896390915,11.037941128015518,11.503046445725928,12.05210593342781,21,94,0.3989901999011636,21.38071409985423,0.29855655290526506,1.2879643529318639e-11,3.3868512183062514,1,1
AS,39,10.890991896390915,11.172453612089157,11.470684019991985,11.941957131028175,13,94,0.39264249987900257,21.773399399826303,0.249220829420613,6.4398217646593196e-12,2.8271825272307334,1,1
AS,40,10.890991896390915,11.167221948504448,11.52802970925612,12.07876168191433,14,94,0.39791169995442033,22.171351099852473,0.2317278160844815,3.2199108823296598e-12,2.6287402792041266,1,1
AS,41,10.82027168571949,10.82027168571949,11.441141969420844,12.374791130423546,18,94,0.39130979985930026,22.562704499810934,0.254676785595003,1.6099554411648299e-12,2.8890753634532906,1,1
AS,42,10.82027168571949,10.912930220365524,11.361481411116463,11.687631145119667,21,94,0.3806083002127707,22.94335489999503,0.29033809951422584,8.049777205824149e-13,3.293620376201314,1,1
AS,43,10.82027168571949,10.899741411209106,11.47059604153037,12.486534990370274,21,94,0.4016543000470847,23.34505119989626,0.306676529417973,4.0248886029120747e-13,3.478964930489984,1,1
AS,44,10.82027168571949,11.066209364682436,11.460016086697578,12.083852354437113,24,94,0.38005800009705126,23.725150499958545,0.3380600813210438,2.0124443014560374e-13,3.8349826429409104,1,1
AS,45,10.82027168571949,11.010760255157948,11.534783491939306,12.616661421954632,25,94,0.40047300001606345,24.125664599938318,0.36027515743067795,1.0062221507280187e-13,4.086992377303945,1,1
AS,46,10.82027168571949,10.91176612302661,11.544085137191272,12.400226309895515,21,94,0.39226280013099313,24.517977999988943,0.34064525834877485,5.0311107536400934e-14,3.8643091135258962,1,1
AS,47,10.82027168571949,11.057777635753155,11.400240699388087,11.97889968752861,20,94,0.3850391998421401,24.903059099800885,0.32504488251684455,2.5155553768200467e-14,3.68733710812093,1,1
AS,48,10.82027168571949,10.965246073901653,11.469193941320885,11.998247042298317,22,94,0.3926608997862786,25.295760799897835,0.33171623491892616,1.2577776884100234e-14,3.763017503650052,1,1
AS,49,10.82027168571949,11.0150808095932,11.51023713007037,12.555394269526005,28,94,0.3993058998603374,25.695116999791935,0.3804479549692453,6.288888442050117e-15,4.315834327876857,1,1
AS,50,10.82027168571949,11.110779471695423,11.470982568648955,12.25353915989399,24,94,0.381517699919641,26.076676199911162,0.3747587536843736,3.1444442210250584e-15,4.251295539107646,1,1
AS,51,10.82027168571949,10.858835443854332,11.454898617189864,12.153889536857605,23,94,0.40171239990741014,26.47843029978685,0.36449821891128625,1.5722221105125292e-15,4.134899150015112,1,1
AS,52,10.82027168571949,10.99120058864355,11.424586070870811,11.948700912296772,33,94,0.40191120002418756,26.880383200012147,0.43697198825556915,7.861110552562646e-16,4.957047823759406,1,1
AS,53,10.82027168571949,11.030825912952423,11.3628045214074,11.71776021271944,21,94,0.38790839980356395,27.268333699787036,0.3814586534104671,3.930555276281323e-16,4.32729977793594,1,1
AS,54,10.82027168571949,11.026038125157356,11.501834389269352,12.092788837850094,25,94,0.45234499988146126,27.720719599863514,0.38241419381457087,1.9652776381406615e-16,4.338139510477119,1,1
AS,55,10.82027168571949,11.100983008742332,11.489072380300899,12.021697152405977,26,94,0.429221399826929,28.149984099902213,0.3907959727966947,9.826388190703307e-17,4.433223132263579,1,1
AS,56,10.82027168571949,10.889700248837471,11.454187383999427,12.296625770628452,30,94,0.4102012999355793,28.560227899812162,0.4264696093386884,4.913194095351654e-17,4.837907933895872,1,1
AS,57,10.82027168571949,11.066641196608543,11.52375327795744,12.135413497686386,25,94,0.3898696999531239,28.950140099972486,0.4045848690288009,2.456597047675827e-17,4.5896455572622035,1,1
AS,58,10.82027168571949,11.04709481075406,11.403222603324268,11.74405637010932,28,94,0.3996206000447273,29.34980219998397,0.4187958198517257,1.2282985238379134e-17,4.750855805844845,1,1
AS,59,10.82027168571949,10.913519479334354,11.479228284908459,12.313334338366985,32,94,0.39269039989449084,29.742535299854353,0.4553052720844242,6.141492619189567e-18,5.165022172570618,1,1
AS,60,10.82027168571949,11.07318789511919,11.435634004357068,11.837266594171524,23,94,0.386574300006032,30.1291524998378,0.4050022093931528,3.0707463095947836e-18,4.594379902255658,1,1
AS,61,10.82027168571949,11.038053691387177,11.522279927347387,12.480240501463413,35,94,0.4082575000356883,30.537458499893546,0.4704727372590938,1.5353731547973918e-18,5.3370832022402555,1,1
AS,62,10.82027168571949,10.979834422469139,11.471093295940332,12.354856468737125,42,94,0.37562229996547103,30.913126099854708,0.5581720555041136,7.676865773986959e-19,6.331951812439137,1,1
AS,63,10.82027168571949,10.872119270265102,11.449901133518795,12.09114496409893,29,94,0.3924290998838842,31.305599799845368,0.5024871800583518,3.8384328869934795e-19,5.700257795285604,1,1
AS,64,10.82027168571949,11.130656026303768,11.568373865480053,12.370354555547237,29,94,0.39393889997154474,31.699581999797374,0.4723393486110566,1.9192164434967397e-19,5.358258201985642,1,1
AS,65,10.82027168571949,10.94600697606802,11.522458492501363,12.316945470869541,37,94,0.40172350010834634,32.101348999887705,0.5194270183017928,9.596082217483699e-20,5.892424777509586,1,1
AS,66,10.82027168571949,10.988797925412655,11.554768459871411,12.311981674283743,34,94,0.38766290014609694,32.48905440000817,0.5193032787775913,4.7980411087418493e-20,5.891021065702784,1,1
AS,67,10.82027168571949,11.042008303105831,11.467439856690666,11.993161499500275,24,94,0.41498590004630387,32.90408259979449,0.4442686892260366,2.3990205543709247e-20,5.039822227241598,1,1
AS,68,10.82027168571949,11.186205424368382,11.479147884994745,12.237715043127537,28,94,0.39477809984236956,33.298902299953625,0.43724129620736174,1.1995102771854623e-20,4.960102876330826,1,1
AS,69,10.82027168571949,11.002895675599575,11.473695720461281,11.929178334772587,33,94,0.3822094998322427,33.681164199952036,0.4722950650513781,5.997551385927312e-21,5.35775584547531,1,1
AS,70,10.82027168571949,11.039214253425598,11.55552739887075,12.466044954955578,33,94,0.38161449995823205,34.06282199989073,0.48808299069991545,2.998775692963656e-21,5.536855432133449,1,1
AS,71,10.82027168571949,10.913519479334354,11.424154923907642,12.249984011054039,29,94,0.405749199911952,34.4686143998988,0.46797415544515464,1.499387846481828e-21,5.308739075211162,1,1
AS,72,10.82027168571949,11.135573133826256,11.433185004889966,11.88878621160984,25,94,0.39109839987941086,34.85975389997475,0.4267954266053195,7.49693923240914e-22,4.8416040329958285,1,1
